#1 Driver,Lightning,Fairway Driver,""
#1 Flyer,Lightning,Distance Driver,""
#1 Helix,Lightning,Distance Driver,""
#1 Hookshot,Lightning,Fairway Driver,""
#1 Hyzer,Lightning,Fairway Driver,""
#1 Roller,Lightning,Fairway Driver,""
#1 Slice,Lightning,Fairway Driver,""
#2 Driver,Lightning,Fairway Driver,""
#2 Flyer,Lightning,Distance Driver,""
#2 Helix,Lightning,Distance Driver,""
#2 Hookshot,Lightning,Mid-Range,""
#2 Hyzer,Lightning,Mid-Range,""
#2 Putter,Lightning,Putt & Approach,""
#2 Roller,Lightning,Fairway Driver,""
#2 Slice,Lightning,Fairway Driver,""
#2 Upshot,Lightning,Mid-Range,""
#3 Driver,Lightning,Fairway Driver,""
#3 Flyer,Lightning,Fairway Driver,""
#3 Hookshot,Lightning,Mid-Range,""
#3 Hyzer,Lightning,Mid-Range,""
#3 Slice,Lightning,Mid-Range,""
#4 Driver,Lightning,Fairway Driver,""
10 M Brick,Quest AT,Putt & Approach,""
10 M Crossfire,Quest AT,Putt & Approach,""
100 M Lazer,Quest AT,Fairway Driver,""
50 Cal,Arsenal,Fairway Driver,""
86 Softie,Wham-O,Putt & Approach,""
A1,Prodigy Disc,Mid-Range,"3, 3, 0, 3"
A2,Prodigy Disc,Mid-Range,"4, 4, 0, 3"
A3,Prodigy Disc,Mid-Range,"4, 4, 0, 3"
A4,Prodigy Disc,Mid-Range,"4, 4, -1, 2"
Ace,Innova,Putt & Approach,"2, 3, -2, 1"
Addax,Wild Discs,Mid-Range,"5, 5, 0, 2"
Aero,Innova,Putt & Approach,"3, 6, 0, 0"
Aftermath,Legacy,Distance Driver,"13, 5, -2, 3"
Aftershock,DGA,Mid-Range,"4, 3, 0, 2"
Ahti,Westside,Fairway Driver,"9, 3, 0, 4"
Air Strike,Arsenal,Distance Driver,""
AK-47,Fly High Discs,Putt & Approach,""
Albatross,Daredevil,Distance Driver,"14, 6, -2, 3"
Alias,Axiom,Mid-Range,"4, 4, -1, 1"
All in One,Hole 19,Putt & Approach,""
Alpaca,Infinite Discs,Putt & Approach,"3, 3, 0, 1"
Alpha,Mint Discs,Fairway Driver,"8, 4, 0, 2"
Amp,MVP,Fairway Driver,"8, 5, -1, 1"
Anax,Discraft,Distance Driver,"10, 6, 0, 3"
Anchor,Latitude 64,Mid-Range,"5, 4, 0, 3"
Andro 1,Ozone Discs,Mid-Range,""
Andro C,Ozone Discs,Mid-Range,"6, 4, -1, 2"
Andro C (Retooled),Ozone Discs,Mid-Range,""
Animus,Thought Space Athletics,Distance Driver,"10, 4, 0, 2"
Anode,MVP,Putt & Approach,"3, 3, 0, 0"
Antidote,Salient Discs,Mid-Range,""
Anubis,Infinite Discs,Mid-Range,"5, 5, 0, 0"
Anvil,Westside,Mid-Range,"4, 2, 0, 4"
Apache,Gateway,Fairway Driver,"9, 4, -1, 2"
Ape,Innova,Distance Driver,"13, 5, 0, 4"
Apex,Gateway,Distance Driver,"12, 6, -1, 2"
APX,Discraft,Putt & Approach,"2, 3, -1, 1"
Aquarius,Millennium,Distance Driver,"10, 5, -4, 2"
Arch,Vibram,Fairway Driver,"8, 5, 0, 2"
Archangel,Innova,Fairway Driver,"8, 6, -4, 1"
Archer,Discraft,Mid-Range,"5, 4, -4, 1"
Archon,Innova,Distance Driver,"11, 5, -2, 2"
Arcturus,RPM Discs,Fairway Driver,""
Aries,Millennium,Distance Driver,"11, 6, -3, 1"
Arrow,Aerobie,Putt & Approach,"1, 2, 0, 1"
Ascent,Vibram,Fairway Driver,"8, 4, 0, 3"
Assassin,Gateway,Distance Driver,"9, 6, -2, 1"
Astra,Millennium,Distance Driver,"11, 5, -2, 2"
Astra-X,Millennium,Distance Driver,"11, 5, -2, 3"
Astronaut,Discmania,Distance Driver,"12, 6, -4, 1"
Astronaut.,Discmania,Distance Driver,""
Atlas,Innova,Mid-Range,"5, 5, 0, 1"
Atom,MVP,Putt & Approach,"3, 3, 0, 1"
Atomic Raptor X,RPM Discs,Distance Driver,""
Aurora MF,Millennium,Mid-Range,""
Aurora MS,Millennium,Mid-Range,"4, 5, -1, 1"
Avatar,Innova,Mid-Range,"5, 4, 0, 2"
Avenger,Discraft,Distance Driver,"10, 5, 0, 3"
Avenger SS,Discraft,Distance Driver,"10, 5, -3, 1"
Aviar Big Bead Driver,Innova,Putt & Approach,""
Aviar Classic,Innova,Putt & Approach,"2, 3, 0, 0"
Aviar P&A,Innova,Putt & Approach,""
Aviar3,Innova,Putt & Approach,"3, 2, 0, 2"
AviarX3,Innova,Putt & Approach,"3, 2, 0, 3"
Axe,Viking,Mid-Range,""
Axe Driver,Black Jax Sports,Fairway Driver,""
Axis,MVP,Mid-Range,"5, 5, -1, 1"
Aztec,Infinite Discs,Distance Driver,"10, 5, -1, 2"
Backbone,Quest AT,Mid-Range,""
Backdraft,Salient Discs,Distance Driver,""
Ballista,Latitude 64,Distance Driver,"14, 5, -1, 3"
Ballista Pro,Latitude 64,Distance Driver,"14, 4, 0, 3"
Ballistic,RIP,Distance Driver,"13, 4, -2, 3"
Bandit,Legacy,Distance Driver,"9, 5, -2, 1"
Banger-GT,Discraft,Putt & Approach,"2, 3, 0, 1"
Banshee,Innova,Fairway Driver,"7, 3, 0, 3"
Banzai,DGA,Fairway Driver,"8, 4, 0, 3"
Barbarian,Viking,Fairway Driver,""
Bard,Westside,Mid-Range,"5, 4, 0, 3"
Barracuda,Innova,Mid-Range,"5, 4, -2, 3"
Beast,Innova,Distance Driver,"10, 5, -2, 2"
Beast (Original),Innova,Distance Driver,""
Beaver,Daredevil,Putt & Approach,"2, 3, 0, 1"
Bee Line,ABC,Distance Driver,"14, 5, -3, 2"
Beetle,Latitude 64,Putt & Approach,"1, 7, -1, 0"
Berg,Kastaplast,Putt & Approach,"1, 1, 0, 2"
Berserker,Viking,Putt & Approach,""
BerZerker,Black Zombie,Distance Driver,""
Big Foot,Daredevil,Distance Driver,"13, 5, -2, 2"
Bighorn,Daredevil,Putt & Approach,"2, 3, 0, 1"
Bird-Dog,Paradigm,Putt & Approach,""
Birdie,Innova,Putt & Approach,"1, 2, 0, 0"
Blade,Gateway,Fairway Driver,"9, 5, 0, 3"
Blast DT,Gateway,Distance Driver,""
Blaze,Gateway,Fairway Driver,"7, 5, 0, 3"
Blitz,Latitude 64,Distance Driver,"12, 3, 0, 4"
Blowfly,DGA,Putt & Approach,""
